ID_g;ID_File;LWD63;LWD125;LWD250;LWD500;LWD1000;LWD2000;LWD4000;LWD8000;P10;P25;P50;P75;P90;Alpha;T
100;5;38,069828;53,32344044;53,58806488;54,55836409;50,98692049;48,47508839;46,50404412;46,39304628;-60,7665736;-51,92743685;-43,07444198;-34,34980582;-29,21673761;1,5;4
101;5;42,21089534;53,18468218;53,30611202;55,81177288;59,48190519;54,01007831;42,59630125;29,88822922;-60,20599913;-51,72062018;-43,11228905;-34,29465713;-28,23976626;2;5
102;5;46,25179798;52,53005996;57,41980093;59,6441778;53,28810759;50,46272912;43,6450316;34,38373761;-56,15759518;-47,70232333;-39,88623703;-33,03065116;-26,46880685;2,5;6
103;5;47,49351262;57,07906182;65,28146412;64,25268504;56,1308208;49,43853913;43,66484233;33,62548481;-45,90683694;-37,78219135;-30,38752561;-24,98907129;-21,08203003;3;7
104;5;47,983625;50,00954702;55,16575669;56,00681675;54,82713793;54,1850305;43,42731478;35,96472581;-53,78750265;-45,75126461;-38,31133726;-32,171528;-27,70875971;3,5;8
105;5;42,07081785;42,82457254;49,52107269;52,06373398;46,50922768;44,21954754;41,76607711;35,03012457;-59,18294868;-50,73178845;-44,03165429;-38,31133726;-33,51818166;4;9
106;5;39,20302899;39,80576234;60,74739507;58,22248371;63,15064502;60,93032825;43,39266601;34,08046886;-52,35645687;-43,90607298;-35,13076085;-28,28265167;-22,16628295;4,5;10
107;5;37,94750816;38,59368743;60,04206765;54,19799381;60,27007791;54,8874694;42,57971457;32,20177819;-55,6611235;-46,55858428;-37,09168914;-29,77016614;-24,59785252;5;11
108;5;40,18745887;38,22337359;62,71624167;57,51862251;64,90789205;55,91262102;40,44566417;33,22664075;-47,20227795;-38,48770656;-31,32119857;-25,45320251;-22,04971326;5,5;12
109;5;39,2046939;41,34635902;67,52787602;59,89722927;50,08445401;47,24975795;46,12634473;32,77715648;-57,43994517;-49,01983891;-40,20599913;-26,03864356;-20,56877796;6;13
110;5;41,16353741;43,47662347;62,10477241;57,55928294;62,68495435;59,86058437;44,44005148;36,14249861;-52,24719896;-43,46054508;-34,06410476;-26,95674524;-22,21916634;6,5;14
111;5;39,25809006;43,20929472;59,82340976;50,70491903;46,12183474;41,22853853;43,0476048;30,47806374;-63,07444198;-54,18539922;-46,28105621;-34,87724908;-27,48564953;7;15
112;5;41,1359302;44,2419254;60,71116365;51,7841915;56,62244937;50,23620868;41,82237255;45,33008688;-57,63962959;-48,79805947;-39,78221315;-32,35645687;-26,79296604;7,5;16
113;6;29,11755127;33,35814313;52,71272113;57,42509279;59,30491452;54,46316935;48,73856844;46,04069123;-50,3089987;-38,99204233;-29,38690295;-22,13402658;-16,64625607;0;1
114;6;28,00007041;35,39744268;54,22557858;51,77243768;48,39035031;44,78520985;41,78163598;40,11463257;-55,6611235;-47,14174886;-37,86471824;-29,27052038;-22,92839426;0,5;2
115;6;26,82638866;34,42215405;57,83720606;52,25419225;43,47567684;41,88580282;41,92851495;39,75290229;-52,03272165;-44,03165429;-34,4892292;-24,3735026;-19,71987841;1;3
116;6;25,20564888;34,89264091;52,04837372;53,9609946;54,88846331;54,41508849;41,21955448;35,15976618;-62,00953174;-53,91811999;-46,78717352;-33,06637111;-22,33978171;1,5;4
117;6;27,51603366;34,50195111;50,89358969;51,83356819;55,40595371;50,6353157;36,17696688;38,37335113;-52,03272165;-43,78228148;-35,70951299;-28,37079844;-21,20509509;2;5
118;6;29,45835808;39,52262956;51,06924771;51,51708519;42,48049424;41,48446715;38,91033481;26,19744399;-47,89752008;-39,62847658;-33,07831048;-27,47530138;-23,86874993;2,5;6
119;6;34,74703824;50,62668433;52,82259105;56,45559481;42,64794223;43,02328678;45,17975099;42,66700349;-55,04043883;-46,44650673;-38,39907426;-28,48269551;-19,6028631;3;7
120;6;46,31290925;54,78660882;58,44703072;60,85173129;56,28528334;48,87238899;38,95477363;36,18472027;-42,00953174;-33,73580077;-26,64360183;-19,5879356;-14,76336287;3,5;8
121;6;45,63458557;47,23312997;44,97781842;48,50616359;39,75025271;35,00771559;25,84331325;26,56140732;-58,71332677;-50,13699526;-41,49081706;-32,71848122;-26,26959201;4;9
122;6;48,23128859;47,72440906;47,01637198;51,92181629;46,97720213;41,84797688;36,65114288;37,11444147;-52,03272165;-43,5001164;-36,05600467;-29,15567662;-23,89735;4,5;10
123;6;45,28785619;49,35084033;51,70239153;51,32252952;37,32916483;36,51315374;46,52817597;45,06186124;-50,84644163;-42,56120217;-35,25267008;-28,46862928;-23,28815466;5;11
124;6;48,13642818;49,33410466;49,17461508;51,96547768;40,53937727;37,64313745;44,07740396;42,01568507;-50,13699526;-41,77877347;-33,65882045;-27,50512513;-23,60786831;5,5;12
125;6;47,87598799;44,69159736;44,74540311;50,01601932;48,32004787;38,8010666;33,95913015;31,92281474;-50,84644163;-42,66865785;-36,07285412;-30,34381193;-24,6746993;6;13
126;6;30,40273647;33,35405426;30,68083061;23,75416255;21,57519829;19,91307555;19,46742144;15,30602377;-65,2035486;-57,43994517;-50,84644163;-46,33585696;-43,18848156;6,5;14
127;6;45,90388188;53,30342756;58,38523384;59,54306405;56,15089351;55,12188217;46,02570336;36,44037263;-55,34523816;-45,39874534;-30,0480398;-21,3356452;-15,46785749;7;15
128;6;37,22963287;46,26590165;51,5035342;54,06639034;45,50739709;45,04426483;35,52649986;35,30300028;-51,32119857;-42,88764145;-35,92237296;-30,0606912;-24,24939996;7,5;16
129;6;41,58961715;53,22697657;54,84829834;50,47411995;47,6974799;45,54308594;34,41581492;29,43826363;-58,94496422;-49,72132315;-37,03498019;-27,83849908;-21,13624172;8;17
130;7;55,64781646;67,46815985;72,29411885;74,95803112;73,83483878;64,1189596;52,671685;37,04590335;-74,74597369;-66,78717352;-53,91811999;-45,70002027;-41,61762062;0;1
131;7;55,84548267;70,1038765;76,18566621;78,55965547;74,40050512;65,18589878;55,34673626;42,07804899;-61,68172342;-53,53201688;-47,20227795;-42,59687323;-39,52747672;0,5;2
132;7;56,05237057;69,50490244;74,93622326;78,1485815;73,56806326;65,72281964;55,6577336;40,27773164;-62,70477386;-54,89195847;-48,23292428;-43,34290144;-40,01804365;1;3
133;7;57,07644748;70,16086431;75,0265038;79,07015113;73,28726911;65,64146279;55,21287431;41,17508964;-63,07444198;-54,74597369;-47,96357279;-43,18848156;-39,86011403;1,5;4
134;7;54,68707665;70,19563352;75,08057727;77,14247208;71,2717873;65,17343561;57,04154369;39,61666818;-63,46054508;-55,50174491;-49,01983891;-44,33193717;-41,03113892;2;5
135;7;56,43135382;72,12288781;75,45226375;78,0258328;74,6659171;66,03913321;56,20376927;38,93740098;-62,70477386;-54,46116491;-47,83196588;-43,0367591;-39,75640068;2,5;6
136;7;55,83927028;69,77326757;76,84656522;77,35598989;70,94242601;65,21022262;54,55031832;38,23542456;-63,07444198;-55,04043883;-48,37079844;-43,78228148;-40,37040574;3;7
137;7;56,54143921;68,12706025;74,72441739;77,68801162;74,46361953;66,08365803;57,14020394;40,83360127;-63,07444198;-54,74597369;-48,16479931;-43,42115323;-40,17889805;3,5;8
138;7;55,98247275;68,52689161;75,0177391;76,93722887;76,06595571;69,5542239;55,88631238;39,33055151;-62,70477386;-54,46116491;-47,96357279;-43,15030176;-39,83406936;4;9
139;7;56,62216653;69,03810259;75,75941071;79,29875945;75,20722532;67,72631287;57,27164332;41,02444181;-60,7665736;-52,9243643;-46,50236474;-42,17819509;-39,01567741;4,5;10
140;7;57,7684736;69,701012;75,05450053;75,79572649;75,53944254;70,13481229;57,93309748;41,25843282;-62,70477386;-54,74597369;-48,37079844;-43,46054508;-40,04198639;5;11
141;7;57,56703139;69,28446642;74,77703807;75,24952491;70,31490555;65,85009369;55,7959827;42,33095994;-64,28839879;-56,15759518;-49,88521272;-45,19151825;-42,11033623;5,5;12
142;7;57,93723843;69,11263292;74,37413399;75,70124136;71,50185221;65,36124281;53,81710832;37,9101527;-64,28839879;-55,82348131;-49,64052359;-45,10757094;-41,84408122;6;13
143;7;59,32911676;71,25978353;75,77730851;79,09511585;72,3150199;64,68092141;55,31055852;40,84519474;-61,68172342;-53,53201688;-47,08163865;-42,59687323;-39,5526168;6,5;14
144;7;59,97042337;69,47352465;74,7721586;76,6112909;70,60667063;64,94770228;53,98574044;38,64551178;-64,28839879;-56,32959861;-49,64052359;-44,64297413;-41,45940332;7;15
145;7;58,64308771;67,49438756;72,72682304;75,79362262;70,62123872;62,93647111;52,29276065;37,67746872;-64,73392668;-56,68417395;-50,3089987;-45,75126461;-42,45505963;7,5;16
146;7;58,96775881;69,55580642;74,78998016;75,11376742;70,67604242;61,606188;52,15347122;38,63640337;-64,28839879;-56,32959861;-49,72132315;-45,1554272;-42,07660458;8;17
